"0","Controllo attivo della stabilità"
"1","Kit freni Sport"
"2","Dispositivo di equilibratura freni"
"3","Frizione monodisco "
"4","Frizione a due dischi"
"5","Frizione a tre dischi"
"6","Computer"
"7","Aumento della cilindrata"
"8","-"
"9","Equilibratura del motore"
"10","Volano tipo Sport"
"11","Volano Semi-Racing"
"12","Volano Racing"
"13","Cambio a rapporti corti"
"14","Cambio a rapporti extra-corti"
"15","Cambio - Personalizzato"
"16","Intercooler tipo Sport"
"17","Intercooler Racing"
"18","Riduzione della massa - Fase 1"
"19","Riduzione della massa - Fase 2"
"20","Riduzione della massa - Fase 3"
"21","LSD a 1 via"
"22","LSD a 2 vie"
"23","LSD a 1,5 vie"
"24","LSD - Personalizzato"
"25","Sistema di controllo dell’imbardata"
"26","Marmitta tipo Sport"
"27","Marmitta Semi-Racing"
"28","Marmitta Racing"
"29","Elaborazione motori aspirati - Fase 1"
"30","Elaborazione motori aspirati - Fase 2"
"31","Elaborazione motori aspirati - Fase 3"
"32","Smerigliatura delle luci"
"33","Albero di trasmissione in carbonio"
"34","Modifiche delle vetture da corsa"
"35","Kit sospensioni tipo Sport"
"36","Kit sospensioni Semi-Racing"
"37","Sospensioni - Personalizzato"
"38","Sistema di controllo della trazione"
"39","Pneumatici sportivi"
"40","Pneumatici da gara - Tipo duro"
"41","Pneumatici da gara - Tipo medio"
"42","Pneumatici da gara - Tipo morbido"
"43","Pneumatici da gara - Tipo super morbido"
"44","Pneumatici di controllo"
"45","Pneumatici da sterrato"
"46","Kit turbina - Fase 1"
"47","Kit turbina - Fase 2"
"48","Kit turbina - Fase 3"
"49","Kit turbina - Fase 4"
